filename,corner,x_position,y_position,frame_type
000-174-609.tif,right,6695,2335,wild_rhone
000-174-609.tif,bottom,3479,4362,wild_rhone
000-351-799.tif,top,3434,413,wild_rhone
000-351-799.tif,left,221,2460,wild_rhone
000-351-799.tif,right,6659,2430,wild_rhone
000-351-799.tif,bottom,3451,4465,wild_rhone
000-367-824.tif,top,3486,377,wild_blocky
000-367-824.tif,left,270,2413,wild_blocky
000-367-824.tif,right,6705,2401,wild_blocky
000-367-824.tif,bottom,3495,4433,wild_blocky
000-349-974.tif,top,3509,296,wild_rhone
000-349-974.tif,left,290,2318,wild_rhone
000-349-974.tif,right,6725,2329,wild_rhone
000-349-974.tif,bottom,3504,4350,wild_rhone
000-367-990.tif,top,3541,328,wild_blocky
000-367-990.tif,left,332,2373,wild_blocky
000-367-990.tif,right,6767,2344,wild_blocky
000-367-990.tif,bottom,3559,4377,wild_blocky
000-358-315.tif,top,3501,287,wild_rhone
000-358-315.tif,left,287,2313,wild_rhone
000-358-315.tif,right,6715,2324,wild_rhone
000-358-315.tif,bottom,3497,4341,wild_rhone
000-379-628.tif,top,3478,277,wild_rhone
000-379-628.tif,left,261,2295,wild_rhone
000-379-628.tif,right,6692,2313,wild_rhone
000-379-628.tif,bottom,3471,4329,wild_rhone
000-171-615.tif,top,3438,326,wild_rhone
000-171-615.tif,left,234,2370,wild_rhone
000-171-615.tif,right,6668,2347,wild_rhone
000-171-615.tif,bottom,3454,4379,wild_rhone
000-365-631.tif,top,3461,328,wild_blocky
000-365-631.tif,left,268,2391,wild_blocky
000-365-631.tif,right,6701,2320,wild_blocky
000-365-631.tif,bottom,3506,4382,wild_blocky
000-172-005.tif,top,3443,388,wild_rhone
000-172-005.tif,left,234,2419,wild_rhone
000-172-005.tif,right,6669,2415,wild_rhone
000-172-005.tif,bottom,3447,4439,wild_rhone
000-374-561.tif,top,3479,257,wild_rhone
000-374-561.tif,left,274,2299,wild_rhone
000-374-561.tif,right,6703,2276,wild_rhone
000-374-561.tif,bottom,3496,4314,wild_rhone
000-347-498.tif,top,3434,352,wild_rhone
000-347-498.tif,left,218,2394,wild_rhone
000-347-498.tif,right,6656,2373,wild_rhone
000-347-498.tif,bottom,3445,4403,wild_rhone
000-349-101.tif,top,3423,374,wild_rhone
000-349-101.tif,left,215,2417,wild_rhone
000-349-101.tif,right,6654,2387,wild_rhone
000-349-101.tif,bottom,3442,4424,wild_rhone
000-175-797.tif,top,3406,345,wild_rhone
000-175-797.tif,left,195,2382,wild_rhone
000-175-797.tif,right,6624,2374,wild_rhone
000-175-797.tif,bottom,3410,4399,wild_rhone
000-381-071.tif,top,3481,316,wild_rhone
000-381-071.tif,left,266,2350,wild_rhone
000-381-071.tif,right,6696,2343,wild_rhone
000-381-071.tif,bottom,3483,4375,wild_rhone
000-374-105.tif,top,3473,301,wild_rhone
000-374-105.tif,left,254,2332,wild_rhone
000-374-105.tif,right,6686,2331,wild_rhone
000-374-105.tif,bottom,3472,4355,wild_rhone
000-349-668.tif,top,3460,319,wild_rhone
000-349-668.tif,left,247,2360,wild_rhone
000-349-668.tif,right,6684,2342,wild_rhone
000-349-668.tif,bottom,3472,4375,wild_rhone
000-362-112.tif,top,3555,330,wild_rhone
000-362-112.tif,left,341,2375,wild_rhone
000-362-112.tif,right,6776,2354,wild_rhone
000-362-112.tif,bottom,3565,4386,wild_rhone
000-373-794.tif,top,3554,262,wild_rhone
000-373-794.tif,left,350,2320,wild_rhone
000-373-794.tif,right,6783,2274,wild_rhone
000-373-794.tif,bottom,3581,4317,wild_rhone
000-347-594.tif,top,3558,336,wild_rhone
000-347-594.tif,left,345,2381,wild_rhone
000-347-594.tif,right,6780,2360,wild_rhone
000-347-594.tif,bottom,3572,4392,wild_rhone
000-360-799.tif,top,3441,329,wild_rhone
000-360-799.tif,left,239,2382,wild_rhone
000-360-799.tif,right,6669,2338,wild_rhone
000-360-799.tif,bottom,3468,4387,wild_rhone
000-383-451.tif,top,3486,296,wild_rhone
000-383-451.tif,left,273,2328,wild_rhone
000-383-451.tif,right,6706,2321,wild_rhone
000-383-451.tif,bottom,3491,4355,wild_rhone
000-175-549.tif,top,3460,365,wild_rhone
000-175-549.tif,left,241,2403,wild_rhone
000-175-549.tif,right,6679,2401,wild_rhone
000-175-549.tif,bottom,3461,4423,wild_rhone
000-348-653.tif,top,3425,289,wild_rhone
000-348-653.tif,left,212,2324,wild_rhone
000-348-653.tif,right,6650,2313,wild_rhone
000-348-653.tif,bottom,3430,4340,wild_rhone
000-374-395.tif,top,3558,310,wild_rhone
000-374-395.tif,left,344,2349,wild_rhone
000-374-395.tif,right,6781,2336,wild_rhone
000-374-395.tif,bottom,3566,4365,wild_rhone
000-379-567.tif,top,3484,331,wild_rhone
000-379-567.tif,left,262,2345,wild_rhone
000-379-567.tif,right,6693,2373,wild_rhone
000-379-567.tif,bottom,3469,4383,wild_rhone
000-171-834.tif,top,3419,371,wild_rhone
000-171-834.tif,left,205,2404,wild_rhone
000-171-834.tif,right,6641,2406,wild_rhone
000-171-834.tif,bottom,3412,4427,wild_rhone
000-369-413.tif,top,3465,338,wild_rhone
000-369-413.tif,left,265,2385,wild_rhone
000-369-413.tif,right,6691,2351,wild_rhone
000-369-413.tif,bottom,3490,4391,wild_rhone
000-376-665.tif,top,3481,309,wild_rhone
000-376-665.tif,left,264,2338,wild_rhone
000-376-665.tif,right,6695,2342,wild_rhone
000-376-665.tif,bottom,3482,4369,wild_rhone
000-365-051.tif,top,3599,336,wild_rhone
000-365-051.tif,left,383,2378,wild_rhone
000-365-051.tif,right,6824,2360,wild_rhone
000-365-051.tif,bottom,3609,4390,wild_rhone
000-171-107.tif,top,3484,320,wild_rhone
000-171-107.tif,left,275,2348,wild_rhone
000-171-107.tif,right,6708,2353,wild_rhone
000-171-107.tif,bottom,3484,4376,wild_rhone
000-384-633.tif,top,3482,316,wild_blocky
000-384-633.tif,left,255,2340,wild_blocky
000-384-633.tif,right,6691,2359,wild_blocky
000-384-633.tif,bottom,3470,4371,wild_blocky
000-370-890.tif,top,3493,357,wild_rhone
000-370-890.tif,left,273,2391,wild_rhone
000-370-890.tif,right,6711,2380,wild_rhone
000-370-890.tif,bottom,3500,4414,wild_rhone
000-361-700.tif,top,3464,305,wild_rhone
000-361-700.tif,left,248,2339,wild_rhone
000-361-700.tif,right,6680,2329,wild_rhone
000-361-700.tif,bottom,3471,4361,wild_rhone
000-352-200.tif,top,3471,355,wild_rhone
000-352-200.tif,left,245,2374,wild_rhone
000-352-200.tif,right,6683,2400,wild_rhone
000-352-200.tif,bottom,3453,4408,wild_rhone
000-363-889.tif,top,3444,351,wild_rhone
